seed,tau,shrink,n_train_id,n_test_id,n_test_ood,id_acc,evidence_ood_auroc,evidence_ood_fpr@tpr80,evidence_ood_fpr@tpr90,evidence_ood_fpr@tpr95,maha_min_auroc,maha_min_fpr@tpr80,maha_min_fpr@tpr90,maha_min_fpr@tpr95,fusion_geo_auroc,fusion_geo_fpr@tpr80,fusion_geo_fpr@tpr90,fusion_geo_fpr@tpr95
3,20.0,0.05,560,64,24,0.8125,0.7194010416666665,0.65625,0.78125,0.84375,0.763671875,0.578125,0.578125,0.734375,0.8717447916666667,0.296875,0.421875,0.421875
3,2.0,0.1,560,64,24,0.8125,0.7194010416666665,0.65625,0.78125,0.84375,0.7434895833333334,0.46875,0.734375,0.75,0.888671875,0.265625,0.3125,0.40625
3,5.0,0.1,560,64,24,0.8125,0.7194010416666665,0.65625,0.78125,0.84375,0.7434895833333334,0.46875,0.734375,0.75,0.8912760416666667,0.25,0.328125,0.328125
3,10.0,0.1,560,64,24,0.8125,0.7194010416666665,0.65625,0.78125,0.84375,0.7434895833333334,0.46875,0.734375,0.75,0.8795572916666666,0.265625,0.359375,0.390625
3,20.0,0.1,560,64,24,0.8125,0.7194010416666665,0.65625,0.78125,0.84375,0.7434895833333334,0.46875,0.734375,0.75,0.8567708333333334,0.359375,0.4375,0.453125
4,2.0,0.001,560,64,24,1.0,0.8177083333333333,0.328125,0.71875,0.75,0.9368489583333333,0.109375,0.125,0.375,0.974609375,0.015625,0.09375,0.109375
4,5.0,0.001,560,64,24,1.0,0.8177083333333333,0.328125,0.71875,0.75,0.9368489583333333,0.109375,0.125,0.375,0.984375,0.015625,0.03125,0.109375
4,10.0,0.001,560,64,24,1.0,0.8177083333333333,0.328125,0.71875,0.75,0.9368489583333333,0.109375,0.125,0.375,0.9889322916666666,0.015625,0.03125,0.03125
4,20.0,0.001,560,64,24,1.0,0.8177083333333333,0.328125,0.71875,0.75,0.9368489583333333,0.109375,0.125,0.375,0.9895833333333334,0.015625,0.015625,0.03125
4,2.0,0.01,560,64,24,1.0,0.8177083333333333,0.328125,0.71875,0.75,0.9114583333333334,0.109375,0.3125,0.3125,0.9739583333333334,0.015625,0.109375,0.109375
4,5.0,0.01,560,64,24,1.0,0.8177083333333333,0.328125,0.71875,0.75,0.9114583333333334,0.109375,0.3125,0.3125,0.9856770833333333,0.015625,0.03125,0.09375
4,10.0,0.01,560,64,24,1.0,0.8177083333333333,0.328125,0.71875,0.75,0.9114583333333334,0.109375,0.3125,0.3125,0.9908854166666666,0.015625,0.015625,0.03125
4,20.0,0.01,560,64,24,1.0,0.8177083333333333,0.328125,0.71875,0.75,0.9114583333333334,0.109375,0.3125,0.3125,0.9869791666666666,0.015625,0.015625,0.078125
4,2.0,0.05,560,64,24,1.0,0.8177083333333333,0.328125,0.71875,0.75,0.8743489583333334,0.21875,0.34375,0.390625,0.978515625,0.015625,0.046875,0.109375
4,5.0,0.05,560,64,24,1.0,0.8177083333333333,0.328125,0.71875,0.75,0.8743489583333334,0.21875,0.34375,0.390625,0.9889322916666666,0.015625,0.03125,0.046875
4,10.0,0.05,560,64,24,1.0,0.8177083333333333,0.328125,0.71875,0.75,0.8743489583333334,0.21875,0.34375,0.390625,0.9869791666666666,0.015625,0.015625,0.078125
4,20.0,0.05,560,64,24,1.0,0.8177083333333333,0.328125,0.71875,0.75,0.8743489583333334,0.21875,0.34375,0.390625,0.9759114583333334,0.015625,0.078125,0.140625
4,2.0,0.1,560,64,24,1.0,0.8177083333333333,0.328125,0.71875,0.75,0.8580729166666667,0.25,0.359375,0.40625,0.984375,0.015625,0.03125,0.109375
4,5.0,0.1,560,64,24,1.0,0.8177083333333333,0.328125,0.71875,0.75,0.8580729166666667,0.25,0.359375,0.40625,0.9895833333333334,0.015625,0.03125,0.03125
4,10.0,0.1,560,64,24,1.0,0.8177083333333333,0.328125,0.71875,0.75,0.8580729166666667,0.25,0.359375,0.40625,0.9837239583333334,0.015625,0.046875,0.109375
4,20.0,0.1,560,64,24,1.0,0.8177083333333333,0.328125,0.71875,0.75,0.8580729166666667,0.25,0.359375,0.40625,0.955078125,0.03125,0.203125,0.265625
